1000 2509
1 2 3
1 3 5
1 4 2
1 6 2
1 8 13
1 45 10
2 4 8
2 5 15
2 6 4
2 9 4
2 10 13
2 11 7
2 19 9
2 35 10
2 48 4
2 55 11
3 6 6
3 7 3
3 8 9
3 9 11
3 12 8
3 13 2
3 17 12
3 18 14
3 29 5
3 33 14
4 5 9
4 6 14
4 7 14
4 8 5
4 12 10
4 14 7
4 19 2
4 23 7
4 25 9
4 39 5
4 46 6
5 8 7
5 9 13
5 21 6
5 22 14
5 25 10
5 32 4
5 43 7
5 50 14
6 7 14
6 9 13
6 52 15
7 15 14
7 24 13
7 30 6
7 40 6
7 45 2
7 48 5
8 12 13
8 15 7
8 25 13
8 49 6
9 19 12
9 26 9
9 28 6
9 54 14
10 11 3
10 15 12
10 16 11
10 31 14
10 39 7
11 19 6
11 31 6
11 34 7
12 20 5
12 24 8
12 42 11
13 20 7
13 26 7
13 38 11
13 44 6
13 63 3
14 21 2
14 49 14
14 53 9
16 23 8
16 27 12
16 29 3
16 33 2
16 39 9
16 42 6
16 47 2
17 28 7
17 29 15
17 43 2
17 47 3
17 53 6
17 56 7
17 61 15
18 21 12
18 22 4
18 64 14
19 61 2
20 24 7
21 37 8
22 27 2
22 31 8
22 46 15
22 63 2
22 70 12
23 25 3
23 29 5
24 58 9
24 66 15
26 28 12
26 30 10
26 49 6
27 40 2
28 36 15
28 37 8
28 40 2
28 46 4
28 54 7
28 65 10
29 36 10
29 45 9
29 63 6
29 78 6
30 36 2
30 37 15
30 51 4
30 55 9
30 58 15
31 36 11
31 44 6
31 67 6
31 79 2
33 37 6
33 43 3
33 50 8
33 70 13
33 72 15
34 66 6
35 49 3
35 75 12
36 84 12
37 69 2
37 74 8
38 74 6
38 88 5
39 41 9
39 46 9
39 69 15
39 81 12
39 89 6
40 47 3
40 51 14
40 68 15
40 80 13
40 81 2
41 47 12
41 62 7
41 67 6
42 48 5
42 60 3
42 67 5
43 44 7
43 57 11
43 62 2
43 79 9
43 93 9
44 55 13
44 59 4
44 83 5
45 71 7
45 75 13
45 76 13
45 83 13
46 58 13
46 69 9
46 71 5
46 88 10
47 90 2
47 92 4
47 93 13
48 84 2
49 53 5
49 78 12
49 91 3
49 93 12
50 55 2
50 80 3
50 87 14
50 88 13
51 68 2
52 63 7
52 92 2
52 95 9
53 66 9
53 88 3
53 98 15
53 99 6
54 59 9
54 73 10
55 68 5
55 73 7
55 82 4
56 78 13
56 80 3
56 85 15
56 95 4
56 97 2
56 99 7
57 82 9
58 62 8
58 75 15
60 108 7
61 74 4
61 76 8
61 82 10
61 85 5
62 101 3
62 107 12
63 96 6
63 100 5
63 102 7
64 65 14
64 113 2
65 73 4
66 73 5
66 76 4
66 79 10
66 95 15
67 81 13
68 81 11
68 101 2
68 106 8
68 115 9
69 108 9
69 114 10
70 71 9
70 94 7
71 76 10
71 77 8
73 102 8
74 101 10
76 86 2
76 97 3
76 101 4
77 102 13
77 121 13
78 89 9
78 91 7
78 93 6
78 110 10
78 117 3
79 83 15
79 124 7
80 129 11
81 121 11
81 129 15
82 85 15
82 108 4
82 109 4
82 119 12
83 99 14
85 92 2
85 110 12
86 103 10
86 128 12
87 96 9
87 103 3
87 106 8
87 133 2
88 125 3
88 126 9
89 119 12
90 115 2
90 120 3
91 104 6
91 123 8
91 133 2
92 96 9
92 118 9
92 121 13
92 127 6
92 137 10
93 111 2
93 119 3
93 138 7
95 118 15
95 130 2
95 132 11
96 124 2
96 125 2
96 141 6
97 104 10
97 112 10
97 141 9
98 105 14
98 107 5
98 113 11
98 128 13
99 129 15
99 130 3
99 138 13
99 149 12
100 144 4
101 103 7
101 148 4
102 112 2
103 137 4
104 120 11
104 126 7
104 133 10
104 134 8
104 139 4
104 148 10
105 150 3
105 152 2
105 153 9
106 111 11
106 120 2
106 145 5
107 112 7
107 113 4
107 130 10
108 118 11
108 146 6
108 149 6
108 150 14
109 112 15
109 118 7
109 125 14
109 136 15
109 147 3
109 159 15
110 121 14
111 119 11
111 126 11
111 129 2
112 146 14
113 116 9
113 124 11
113 132 8
113 152 15
113 154 12
113 162 5
114 122 5
114 123 14
114 135 12
114 150 5
115 140 9
115 161 15
115 165 5
117 120 14
117 142 9
117 157 5
117 158 13
119 166 3
120 125 14
120 135 14
120 141 10
121 135 9
122 148 13
123 130 9
123 135 13
123 154 2
123 158 15
124 131 11
124 134 13
124 169 8
124 172 13
125 154 3
125 173 3
126 144 13
126 145 4
126 161 6
127 134 12
127 160 5
127 164 14
128 156 4
128 159 4
128 165 2
129 143 10
130 144 12
130 173 5
130 176 7
131 145 8
131 175 14
131 179 15
132 140 6
133 171 9
133 179 11
134 143 2
134 166 9
134 175 12
134 182 9
135 168 4
135 169 14
135 171 9
136 145 11
136 170 11
137 138 6
